date,ticker,excess_ret,cooks_d
2020-03-01,APA,-1.7865596265162405,0.036223273079919016
2020-03-01,TRGP,-1.5463887489338966,0.02628870285881687
2020-03-01,NCLH,-1.2248680351255907,0.015476495695735134
2020-03-01,OKE,-1.1193362063902264,0.012548358308008259
2020-03-01,OXY,-1.0405182600754102,0.010561561892422666
2020-03-01,CCL,-0.9220054688536493,0.007896262679673912
2020-03-01,RCL,-0.9173043400761827,0.0077985144264597905
2020-03-01,HAL,-0.9078088246330132,0.007602935534570816
2020-03-01,GEN,0.5364651421864806,0.006773904035157631
2020-03-01,FANG,-0.8625751375308909,0.006705355244002486
